recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3318378509.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,2210369603.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,2034277434.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,2259651739.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,1653871081.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,2665660599.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,2595335328.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,3757222023.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,3593802557.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,3319937949.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,3776990027.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,2240402169.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,2866863718.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,3699788212.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,3310725774.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,2914637732.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,3420993152.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,2442177739.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,1677177052.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,1744956319.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,1828480702.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2160786997.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2638546788.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2495405905.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2080281333.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,1927749988.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2387331380.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,1887516727.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,2170904764.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,3346238165.000000,1.4,1.41,1,2,30,1000,2147483647
