recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,3206067410.000000,1.388825,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,3679038257.000000,0.960495,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,3268974657.000000,1.336248,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,1903807003.000000,1.644310,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,2579229505.000000,1.663883,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,2235532551.000000,1.790840,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,3034398874.000000,1.579005,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,2656278808.000000,0.890975,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,3523574417.000000,1.793502,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,3038396581.000000,1.538266,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,1882554417.000000,1.492564,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,1776314683.000000,1.343321,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,3587926810.000000,1.450657,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,2256721281.000000,1.426128,1.1,1.11,1,2,30,1000,2147483647
-1,-1,-1,2282414484.000000,1.647882,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,2913551417.000000,1.529844,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,1803866075.000000,1.194224,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,3637219649.000000,1.371133,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,2153057817.000000,2.118125,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,2790189941.000000,1.350474,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,3552233695.000000,1.332689,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,1979822783.000000,1.530670,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,3622931891.000000,1.501166,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,2222279949.000000,0.827402,1,1.01,1,2,30,1000,2147483647
-1,-1,-1,3176090174.000000,1.847985,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,2555902030.000000,1.486982,0.9,0.91,1,2,30,1000,2147483647
-1,-1,-1,3504244921.000000,1.378224,0.9,0.91,1,2,30,1000,2147483647
